ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-5,-5,0,200,10,80,20,800,400,20,5,60
770,200,-5,-5,0,200,10,80,20,800,400,20,5,60
765,195,-5,-5,0,200,10,80,20,800,400,20,5,60
760,190,-5,-5,0,200,10,80,20,800,400,20,5,60
755,185,-5,-5,0,200,10,80,20,800,400,20,5,60
750,180,-5,-5,0,200,10,80,20,800,400,20,5,60
745,175,-5,-5,0,200,10,80,20,800,400,20,5,60
740,170,-5,-5,0,200,10,80,20,800,400,20,5,60
735,165,-5,-5,0,200,10,80,20,800,400,20,5,60
730,160,-5,-5,0,200,10,80,20,800,400,20,5,60
725,155,-5,-5,0,200,10,80,20,800,400,20,5,60
720,150,-5,-5,0,200,10,80,20,800,400,20,5,60
715,145,-5,-5,0,200,10,80,20,800,400,20,5,60
710,140,-5,-5,0,200,10,80,20,800,400,20,5,60
705,135,-5,-5,0,200,10,80,20,800,400,20,5,60
700,130,-5,-5,0,200,10,80,20,800,400,20,5,60
695,125,-5,-5,0,200,10,80,20,800,400,20,5,60
690,120,-5,-5,0,200,10,80,20,800,400,20,5,60
685,115,-5,-5,0,200,10,80,20,800,400,20,5,60
680,110,-5,-5,0,200,10,80,20,800,400,20,5,60
675,105,-5,-5,0,200,10,80,20,800,400,20,5,60
670,100,-5,-5,0,200,10,80,20,800,400,20,5,60
665,95,-5,-5,0,200,10,80,20,800,400,20,5,60
660,90,-5,-5,0,200,10,80,20,800,400,20,5,60
655,85,-5,-5,0,200,10,80,20,800,400,20,5,60
650,80,-5,-5,0,200,10,80,20,800,400,20,5,60
645,75,-5,-5,0,200,10,80,20,800,400,20,5,60
640,70,-5,-5,0,200,10,80,20,800,400,20,5,60
635,65,-5,-5,0,200,10,80,20,800,400,20,5,60
630,60,-5,-5,0,200,10,80,20,800,400,20,5,60
625,55,-5,-5,0,200,10,80,20,800,400,20,5,60
620,50,-5,-5,0,200,10,80,20,800,400,20,5,60
615,45,-5,-5,0,200,10,80,20,800,400,20,5,60
610,40,-5,-5,0,200,10,80,20,800,400,20,5,60
605,35,-5,-5,0,200,10,80,20,800,400,20,5,60
600,30,-5,-5,0,200,10,80,20,800,400,20,5,60
595,35,-5,5,0,200,10,80,20,800,400,20,5,60
590,40,-5,5,0,200,10,80,20,800,400,20,5,60
585,45,-5,5,0,200,10,80,20,800,400,20,5,60
580,50,-5,5,0,200,10,80,20,800,400,20,5,60
575,55,-5,5,0,200,10,80,20,800,400,20,5,60
570,60,-5,5,0,200,10,80,20,800,400,20,5,60
565,65,-5,5,0,200,10,80,20,800,400,20,5,60
560,70,-5,5,0,200,10,80,20,800,400,20,5,60
555,75,-5,5,0,200,10,80,20,800,400,20,5,60
550,80,-5,5,0,200,10,80,20,800,400,20,5,60
545,85,-5,5,0,200,10,80,20,800,400,20,5,60
540,90,-5,5,0,200,10,80,20,800,400,20,5,60
535,95,-5,5,0,200,10,80,20,800,400,20,5,60
530,100,-5,5,0,200,10,80,20,800,400,20,5,60
525,105,-5,5,0,200,10,80,20,800,400,20,5,60
520,110,-5,5,0,200,10,80,20,800,400,20,5,60
515,115,-5,5,0,200,10,80,20,800,400,20,5,60
510,120,-5,5,0,200,10,80,20,800,400,20,5,60
505,125,-5,5,0,200,10,80,20,800,400,20,5,60
500,130,-5,5,0,200,10,80,20,800,400,20,5,60
495,135,-5,5,0,200,10,80,20,800,400,20,5,60
490,140,-5,5,0,200,10,80,20,800,400,20,5,60
485,145,-5,5,0,200,10,80,20,800,400,20,5,60
480,150,-5,5,0,200,10,80,20,800,400,20,5,60
475,155,-5,5,0,200,10,80,20,800,400,20,5,60
470,160,-5,5,0,200,10,80,20,800,400,20,5,60
465,165,-5,5,0,200,10,80,20,800,400,20,5,60
460,170,-5,5,0,200,10,80,20,800,400,20,5,60
455,175,-5,5,0,200,10,80,20,800,400,20,5,60
450,180,-5,5,0,200,10,80,20,800,400,20,5,60
445,185,-5,5,0,200,10,80,20,800,400,20,5,60
440,190,-5,5,0,200,10,80,20,800,400,20,5,60
435,195,-5,5,0,200,10,80,20,800,400,20,5,60
430,200,-5,5,0,200,10,80,20,800,400,20,5,60
425,205,-5,5,0,200,10,80,20,800,400,20,5,60
420,210,-5,5,0,200,10,80,20,800,400,20,5,60
415,215,-5,5,0,200,10,80,20,800,400,20,5,60
410,220,-5,5,0,200,10,80,20,800,400,20,5,60
405,225,-5,5,0,200,10,80,20,800,400,20,5,60
400,230,-5,5,0,200,10,80,20,800,400,20,5,60
395,235,-5,5,0,200,10,80,20,800,400,20,5,60
390,240,-5,5,0,200,10,80,20,800,400,20,5,60
385,245,-5,5,0,200,10,80,20,800,400,20,5,60
380,250,-5,5,0,200,10,80,20,800,400,20,5,60
375,255,-5,5,0,200,10,80,20,800,400,20,5,60
370,260,-5,5,0,200,10,80,20,800,400,20,5,60
365,265,-5,5,0,200,10,80,20,800,400,20,5,60
360,270,-5,5,0,200,10,80,20,800,400,20,5,60
355,275,-5,5,1,200,10,80,20,800,400,20,5,60
350,280,-5,5,0,220,10,80,20,800,400,20,5,60
345,285,-5,5,0,220,10,80,20,800,400,20,5,60
340,290,-5,5,0,220,10,80,20,800,400,20,5,60
335,295,-5,5,0,220,10,80,20,800,400,20,5,60
330,300,-5,5,0,220,10,80,20,800,400,20,5,60
325,305,-5,5,0,220,10,80,20,800,400,20,5,60
320,310,-5,5,0,220,10,80,20,800,400,20,5,60
315,315,-5,5,0,220,10,80,20,800,400,20,5,60
310,320,-5,5,0,220,10,80,20,800,400,20,5,60
305,325,-5,5,0,220,10,80,20,800,400,20,5,60
300,330,-5,5,1,220,10,80,20,800,400,20,5,60
295,335,-5,5,0,240,10,80,20,800,400,20,5,60
290,340,-5,5,0,240,10,80,20,800,400,20,5,60
285,345,-5,5,0,240,10,80,20,800,400,20,5,60
280,350,-5,5,0,240,10,80,20,800,400,20,5,60
275,355,-5,5,0,240,10,80,20,800,400,20,5,60
270,360,-5,5,0,240,10,80,20,800,400,20,5,60
265,365,-5,5,0,240,10,80,20,800,400,20,5,60
260,370,-5,5,0,240,10,80,20,800,400,20,5,60
255,365,-5,-5,0,240,10,80,20,800,400,20,5,60
250,360,-5,-5,0,240,10,80,20,800,400,20,5,60
245,355,-5,-5,1,240,10,80,20,800,400,20,5,60
240,350,-5,-5,0,260,10,80,20,800,400,20,5,60
235,345,-5,-5,0,260,10,80,20,800,400,20,5,60
230,340,-5,-5,0,260,10,80,20,800,400,20,5,60
225,335,-5,-5,0,260,10,80,20,800,400,20,5,60
220,330,-5,-5,0,260,10,80,20,800,400,20,5,60
215,325,-5,-5,0,260,10,80,20,800,400,20,5,60
210,320,-5,-5,0,260,10,80,20,800,400,20,5,60
205,315,-5,-5,0,260,10,80,20,800,400,20,5,60
200,310,-5,-5,0,260,10,80,20,800,400,20,5,60
195,305,-5,-5,0,260,10,80,20,800,400,20,5,60
190,300,-5,-5,0,260,10,80,20,800,400,20,5,60
185,295,-5,-5,0,260,10,80,20,800,400,20,5,60
180,290,-5,-5,0,260,10,80,20,800,400,20,5,60
175,285,-5,-5,0,260,10,80,20,800,400,20,5,60
170,280,-5,-5,0,260,10,80,20,800,400,20,5,60
165,275,-5,-5,0,260,10,80,20,800,400,20,5,60
160,270,-5,-5,0,260,10,80,20,800,400,20,5,60
155,265,-5,-5,0,260,10,80,20,800,400,20,5,60
150,260,-5,-5,0,260,10,80,20,800,400,20,5,60
145,255,-5,-5,0,260,10,80,20,800,400,20,5,60
140,250,-5,-5,0,260,10,80,20,800,400,20,5,60
135,245,-5,-5,0,260,10,80,20,800,400,20,5,60
130,240,-5,-5,0,260,10,80,20,800,400,20,5,60
125,235,-5,-5,0,260,10,80,20,800,400,20,5,60
120,230,-5,-5,0,260,10,80,20,800,400,20,5,60
115,225,-5,-5,0,260,10,80,20,800,400,20,5,60
110,220,-5,-5,0,260,10,80,20,800,400,20,5,60
105,215,-5,-5,0,260,10,80,20,800,400,20,5,60
100,210,-5,-5,0,260,10,80,20,800,400,20,5,60
95,205,-5,-5,-1,260,10,80,20,800,400,20,5,60
90,200,-5,-5,0,240,10,80,20,800,400,20,5,60
85,195,-5,-5,0,240,10,80,20,800,400,20,5,60
80,190,-5,-5,0,240,10,80,20,800,400,20,5,60
75,185,-5,-5,0,240,10,80,20,800,400,20,5,60
70,180,-5,-5,0,240,10,80,20,800,400,20,5,60
65,175,-5,-5,0,240,10,80,20,800,400,20,5,60
60,170,-5,-5,0,240,10,80,20,800,400,20,5,60
55,165,-5,-5,0,240,10,80,20,800,400,20,5,60
50,160,-5,-5,0,240,10,80,20,800,400,20,5,60
45,155,-5,-5,-1,240,10,80,20,800,400,20,5,60
40,150,-5,-5,0,220,10,80,20,800,400,20,5,60
35,145,-5,-5,0,220,10,80,20,800,400,20,5,60
30,140,-5,-5,0,220,10,80,20,800,400,20,5,60
35,135,5,-5,0,220,10,80,20,800,400,20,5,60
40,130,5,-5,0,220,10,80,20,800,400,20,5,60
45,125,5,-5,0,220,10,80,20,800,400,20,5,60
50,120,5,-5,0,220,10,80,20,800,400,20,5,60
55,115,5,-5,0,220,10,80,20,800,400,20,5,60
60,110,5,-5,0,220,10,80,20,800,400,20,5,60
65,105,5,-5,-1,220,10,80,20,800,400,20,5,60
70,100,5,-5,0,200,10,80,20,800,400,20,5,60
75,95,5,-5,0,200,10,80,20,800,400,20,5,60
80,90,5,-5,0,200,10,80,20,800,400,20,5,60
85,85,5,-5,0,200,10,80,20,800,400,20,5,60
90,80,5,-5,0,200,10,80,20,800,400,20,5,60
95,75,5,-5,0,200,10,80,20,800,400,20,5,60
100,70,5,-5,0,200,10,80,20,800,400,20,5,60
105,65,5,-5,0,200,10,80,20,800,400,20,5,60
110,60,5,-5,0,200,10,80,20,800,400,20,5,60
115,55,5,-5,0,200,10,80,20,800,400,20,5,60
120,50,5,-5,0,200,10,80,20,800,400,20,5,60
125,45,5,-5,0,200,10,80,20,800,400,20,5,60
130,40,5,-5,0,200,10,80,20,800,400,20,5,60
135,35,5,-5,0,200,10,80,20,800,400,20,5,60
140,30,5,-5,0,200,10,80,20,800,400,20,5,60
145,35,5,5,0,200,10,80,20,800,400,20,5,60
150,40,5,5,0,200,10,80,20,800,400,20,5,60
155,45,5,5,0,200,10,80,20,800,400,20,5,60
160,50,5,5,0,200,10,80,20,800,400,20,5,60
165,55,5,5,0,200,10,80,20,800,400,20,5,60
170,60,5,5,0,200,10,80,20,800,400,20,5,60
175,65,5,5,0,200,10,80,20,800,400,20,5,60
180,70,5,5,0,200,10,80,20,800,400,20,5,60
185,75,5,5,0,200,10,80,20,800,400,20,5,60
190,80,5,5,0,200,10,80,20,800,400,20,5,60
195,85,5,5,0,200,10,80,20,800,400,20,5,60
200,90,5,5,0,200,10,80,20,800,400,20,5,60
205,95,5,5,0,200,10,80,20,800,400,20,5,60
210,100,5,5,0,200,10,80,20,800,400,20,5,60
215,105,5,5,1,200,10,80,20,800,400,20,5,60
220,110,5,5,0,220,10,80,20,800,400,20,5,60
225,115,5,5,0,220,10,80,20,800,400,20,5,60
230,120,5,5,0,220,10,80,20,800,400,20,5,60
235,125,5,5,0,220,10,80,20,800,400,20,5,60
240,130,5,5,0,220,10,80,20,800,400,20,5,60
245,135,5,5,0,220,10,80,20,800,400,20,5,60
250,140,5,5,0,220,10,80,20,800,400,20,5,60
255,145,5,5,0,220,10,80,20,800,400,20,5,60
260,150,5,5,0,220,10,80,20,800,400,20,5,60
265,155,5,5,1,220,10,80,20,800,400,20,5,60
270,160,5,5,0,240,10,80,20,800,400,20,5,60
275,165,5,5,0,240,10,80,20,800,400,20,5,60
280,170,5,5,0,240,10,80,20,800,400,20,5,60
285,175,5,5,0,240,10,80,20,800,400,20,5,60
290,180,5,5,0,240,10,80,20,800,400,20,5,60
295,185,5,5,0,240,10,80,20,800,400,20,5,60
300,190,5,5,0,240,10,80,20,800,400,20,5,60
305,195,5,5,0,240,10,80,20,800,400,20,5,60
310,200,5,5,0,240,10,80,20,800,400,20,5,60
315,205,5,5,1,240,10,80,20,800,400,20,5,60
320,210,5,5,0,260,10,80,20,800,400,20,5,60
325,215,5,5,0,260,10,80,20,800,400,20,5,60
330,220,5,5,0,260,10,80,20,800,400,20,5,60
335,225,5,5,0,260,10,80,20,800,400,20,5,60
340,230,5,5,0,260,10,80,20,800,400,20,5,60
345,235,5,5,0,260,10,80,20,800,400,20,5,60
350,240,5,5,0,260,10,80,20,800,400,20,5,60
355,245,5,5,0,260,10,80,20,800,400,20,5,60
360,250,5,5,0,260,10,80,20,800,400,20,5,60
365,255,5,5,0,260,10,80,20,800,400,20,5,60
370,260,5,5,0,260,10,80,20,800,400,20,5,60
375,265,5,5,0,260,10,80,20,800,400,20,5,60
380,270,5,5,0,260,10,80,20,800,400,20,5,60
385,275,5,5,0,260,10,80,20,800,400,20,5,60
